link,id,space_group_core,space_group_shell,core,shell,h_range_max_koe,chemical formula,Tb,TN,Tc,c1,c2,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t
10.1063/1.4771993,1,186,227,Zn1O1,Co1Fe2O4,50,ZnO-CoFe2O4,300,,793,ZnO,CoFe2O4,7.4,7.4,7.4,1,5,,27800,,1132,0,0,1,5
10.1063/1.4771993,2,225,227,Co1O1,Co1Fe2O4,50,CoO-CoFe2O4,276,293,843,CoO,CoFe2O4,7,7,7,1,5,,7800,,406,0,0,1,5
10.1016/j.jmmm.2022.170252,3,227,0,Mn0.50Zn0.50Fe2O4,0,10,Mn0.5Zn0.5Fe2O4,150,,640,Mn0.5Zn0.5Fe2O4,0,17,17,17,1,300,2.29,24.8,0.0078,51.34,1,0,1,0
10.1016/j.jmmm.2022.170252,4,227,0,Mn0.50Zn0.50Fe2O4,0,10,Mn0.5Zn0.5Fe2O4,150,,640,Mn0.5Zn0.5Fe2O4,0,11,11,11,1,300,2.43,90.2,0.0218,108.18,1,0,1,0
10.1016/j.jmmm.2022.170252,5,227,0,Mn0.50Zn0.50Fe2O4,0,10,Mn0.5Zn0.5Fe2O4,150,,640,Mn0.5Zn0.5Fe2O4,0,12,12,12,1,300,16.15,40.07,0.3498,8.92,1,0,1,0
10.1016/j.jmmm.2022.170252,6,227,0,Mn0.50Zn0.50Fe2O4,0,10,Mn0.5Zn0.5Fe2O4,150,,640,Mn0.5Zn0.5Fe2O4,0,18,18,18,1,300,18.75,47.13,0.6546,14.38,1,0,1,0
10.1016/j.jmmm.2022.170252,7,227,0,Mn0.50Zn0.50Fe2O4,0,10,Mn0.5Zn0.5Fe2O4,150,,640,Mn0.5Zn0.5Fe2O4,0,21,21,21,1,300,81.48,109.35,9.2738,2.83,1,0,1,0
10.3390/nano13101657,8,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,27,27,27,1,5,1.3235,830,0.735,0,1,0.017,0,0
10.3390/nano13101657,9,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,27,27,27,1,5,1.3529,894,0.735,255,0,0.04732,0,0.5
10.3390/nano13101657,10,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,27,27,27,1,5,1.3529,910,0.735,296,0,0.01728,1,1
10.3390/nano13101657,11,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,27,27,27,1,5,1.3823,945,0.735,344,0,0.04318,1,2
10.3390/nano13101657,12,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,27,27,27,1,5,1.44117,1077,0.7,635,0,0.142857,1,5
10.3390/nano13101657,13,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,36,36,36,1,5,0.65,894,0.0588,0,1,0.3,0,0
10.3390/nano13101657,14,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,36,36,36,1,5,0.65,985,0.0588,229,0,0.0088,1,0.5
10.3390/nano13101657,15,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,36,36,36,1,5,0.65,1016,0.0588,350,0,0.0176,1,1
10.3390/nano13101657,16,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,36,36,36,1,5,0.66,1074,0.0588,502,0,0.023,1,2
10.3390/nano13101657,17,62,0,La1Fe1O3,0,60,LaFeO3,30,740,730,LaFeO3,0,36,36,36,1,5,0.66,1483,0.052,2157,0,0.084,1,5
10.1007/s10853-023-09277-7,18,225,225,Ni1,Ni1O1,2.5,Ni-NiO,31,525,668,Ni,NiO,30,30,30,1,8,26.6,634,21.5,130,0,0,1,1
10.1007/s10853-023-09277-7,19,225,225,Ni1,Ni1O1,2.5,Ni-NiO,31,525,668,Ni,NiO,30,30,30,1,8,26.4,641,21.5,137,0,0,1,1
10.1007/s10853-023-09277-7,20,225,225,Ni1,Ni1O1,2.5,Ni-NiO,31,525,668,Ni,NiO,30,30,30,1,8,15.2,379,8.9,38,0,0,1,1
10.1007/s10853-023-09277-7,21,225,225,Ni1,Ni1O1,2.5,Ni-NiO,31,525,668,Ni,NiO,30,30,30,1,8,14.7,547,10.7,73,0,0,1,1
10.1007/s10853-023-09277-7,22,225,225,Ni1,Ni1O1,2.5,Ni-NiO,31,525,668,Ni,NiO,30,30,30,1,8,16,534,13,81,0,0,1,1
10.1007/s10853-023-09277-7,23,225,225,Ni1,Ni1O1,2.5,Ni-NiO,31,525,668,Ni,NiO,30,30,30,1,8,16.5,756,12.8,109,0,0,1,1
doi.org/10.1016/j.jpcs.2021.110051,24,227,0,Mg1Fe2O4,0,20,MgFe2O4,573,673,673,MgFe2O4,0,12,12,12,5,300,12.75,8.45,0.14,0,1,0,1,0
doi.org/10.1016/j.jpcs.2021.110051,25,227,0,Mg1Fe2O4,0,20,MgFe2O4,573,673,673,MgFe2O4,0,16,16,16,5,300,18.61,9.88,0.34,0,1,0,1,0
doi.org/10.1016/j.jpcs.2021.110051,26,227,0,Mg1Fe2O4,0,20,MgFe2O4,573,673,673,MgFe2O4,0,24,24,24,2,300,24.52,22.34,1.24,0,1,0,1,0
doi.org/10.1016/j.jpcs.2021.110051,27,227,0,Mg1Fe2O4,0,20,MgFe2O4,573,673,673,MgFe2O4,0,33,33,33,2,300,29.42,59.66,3.81,0,1,0,1,0
doi.org/10.1016/j.jallcom.2021.161650,28,227,0,Co1Fe2O4,0,15,CoFe2O4,230,890,600,CoFe2O4,0,17.7,17.7,17.7,1,300,75,1400,32,0,1,0,1,0.5
