area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,core,shell,formula
0.405405,50,793,5,51.8758,27800,29.1666,1132,0,0,1,5,1,1,3.274224,60,60,60,5.932914,120.4948,120.2024,89.39748,0.444444,0.206349,50.12293,1,172,275.7143,300,0,700,205.7143,7.071068,7.071068,0,2.860376,1.707469,11.55577,ZnO,Fe2CoO4,ZnO-CoFe2O4
0.428571,50,843,5,59.734,7800,38.81,406,0,0,1,5,1,1,3.011828,107.295,89.50258,120.0378,5.932914,120.4948,120.2024,89.39748,0.444444,0.05802,53.28326,1.757954,266,275.7143,750,250,700,205.7143,2.932331,2,10,2.860376,1.707469,11.55577,CoO,Fe2CoO4,CoO-CoFe2O4
0.176471,10,640,300,2.29,24.8,0.0078,51.34,1,0,1,0,1,1,6.056519,90,60,120,0,0,0,0,0.428571,0.804382,26.41781,1,259.9286,0,621.4286,163.5714,0,0,3.105571,1.594171,13.17672,0,-2.22E-16,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
0.272727,10,640,300,2.43,90.2,0.0218,108.18,1,0,1,0,1,1,6.056519,90,60,120,0,0,0,0,0.428571,0.804382,26.41781,1,259.9286,0,621.4286,163.5714,0,0,3.105571,1.594171,13.17672,0,-2.22E-16,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
0.25,10,640,300,16.15,40.07,0.3498,8.92,1,0,1,0,1,1,6.056519,90,60,120,0,0,0,0,0.428571,0.804382,26.41781,1,259.9286,0,621.4286,163.5714,0,0,3.105571,1.594171,13.17672,0,-2.22E-16,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
0.166667,10,640,300,18.75,47.13,0.6546,14.38,1,0,1,0,1,1,6.056519,90,60,120,0,0,0,0,0.428571,0.804382,26.41781,1,259.9286,0,621.4286,163.5714,0,0,3.105571,1.594171,13.17672,0,-2.22E-16,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
0.142857,10,640,300,81.48,109.35,9.2738,2.83,1,0,1,0,1,1,6.056519,90,60,120,0,0,0,0,0.428571,0.804382,26.41781,1,259.9286,0,621.4286,163.5714,0,0,3.105571,1.594171,13.17672,0,-2.22E-16,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
0.111111,60,730,5,1.3529,894,0.735,255,0,0.04732,0,0.5,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.959459,138.3562,1,243,0,520,94,0,0,3.403618,2.686808,19.49359,0,-2.22E-16,0,LaFeO3,0,LaFeO3
0.111111,60,730,5,1.3529,910,0.735,296,0,0.01728,1,1,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.959459,138.3562,1,243,0,520,94,0,0,3.403618,2.686808,19.49359,0,-2.22E-16,0,LaFeO3,0,LaFeO3
0.111111,60,730,5,1.3823,945,0.735,344,0,0.04318,1,2,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.959459,138.3562,1,243,0,520,94,0,0,3.403618,2.686808,19.49359,0,-2.22E-16,0,LaFeO3,0,LaFeO3
