id,crystal_structure(core/shell),Space group(core),Space group(shell),chemical formula,Structure,length (D),width,depth,shape,core_1,core_2(shell),Name,synonyms,Cas rn (core_1),Cas rn (core_2),Exp type,Scale bar (nm),microphotography pic,Spectrum,JCPDS card (core),JCPDS card (shell),X-ray tube (nm),Instrument,Crystalline size,Material fraction,curie temperature (K),temperature (K),H-range min (kOe),H-range max(kOe),Ms (emu/g),Hc (Oe),Mr (emu/g),Instrument,exchange bias shift Hb or Heb(Oe),vertical loop shift M vsl (emu/g),M-H curve,cooling fields (mT),FC field(T),"Hc of measurement (kOe) ",applied field(kOe),Article id,Method,Tb,Keff (effective anisotropy constant) (erg/cm3),Keff (Jm^-3),"Total magnetization ",Atomic mass ratio,Number of magnetic ions per unit cell,get_exchange_group_info,number_of_unique_magnetic_sites,number_of_magnetic_sites
1,"hexagonal, cubic ",p63mc,fd3m,ZnO/CoFe2O4,ZnO/CoFe2O4,7.4,7.4,7.4,sphere,Zn1O1,Co1Fe2O4,zinc oxide,zinc white,1314-13-2,12052-28-7,TEM,10,,,36-1451,22-1086,0.1544,Philips PW3020,6,ZnO,300,5,-50,50,,27800,,Quantum Design,-1132,0,,5000,5,50,,10.1063/1.4771993,combining the chemical route of the high,100,8000000,,,,,,,
2,"cube, cube",fm3m,fd3m,CoO/CoFe2O4,CoO/CoFe2O4,7,7,7,sphere,Cu1O1,Co1Fe2O4,copper oxide,copper monooxide,1317-38-0,12052-28-7,,,,,43-1004,22-1086,0.1544,Philips PW3021,7,CoFe2O4,843,5,-50,50,,7800,,Quantum Design,-406,0,,5000,5,50,,10.1063/1.4771993,combining the chemical route of the high,100,,,,,,,,
3,cubic,fd3m,0,Mn0.50Zn0.50Fe2O4,Mn0.50Zn0.50Fe2O4,17,17,17,polyhedron,Mn0.50Zn0.50Fe2O4,0,manganese zinc ferrite,zinc manganese iron oxide,12645-49-7,0,SEM,500,,,,,,Philips/PANalytical XPert Pro MPD,17,,400,300,-10,10,2.29,24.8,0.0078,Vibrating Sample Magnetometer,51.34,0,,0,0,0,10,10.1016/j.jmmm.2022.170252,temperature decomposition of organo-metalic precursor,,,,,,,,,
4,cubic,fd3m,0,Mn0.50Zn0.50Fe2O4,Mn0.5Zn0.5Fe2O4,11,11,11,polyhedron,Mn0.50Zn0.50Fe2O4,0,manganese zinc ferrite,zinc manganese iron oxide,12645-49-7,0,SEM,500,,,,,,Philips/PANalytical XPert Pro MPD,11,,400,300,-10,10,2.43,90.2,0.0218,Vibrating Sample Magnetometer,108.18,0,,0,0,0,10,10.1016/j.jmmm.2022.170252,temperature decomposition of organo-metalic precursor,,,,,,,,,
5,cubic,fd3m,0,Mn0.50Zn0.50Fe2O4,Mn0.5Zn0.5Fe2O4,12,12,12,polyhedron,Mn0.50Zn0.50Fe2O4,0,manganese zinc ferrite,zinc manganese iron oxide,12645-49-7,0,,,,,,,,Philips/PANalytical XPert Pro MPD,12,,400,300,-10,10,16.15,40.07,0.3498,Vibrating Sample Magnetometer,8.92,0,,0,0,0,10,10.1016/j.jmmm.2022.170252,co-precipitation technique and annealed up,,,,,,,,,
6,cubic,fd3m,0,Mn0.50Zn0.50Fe2O4,Mn0.5Zn0.5Fe2O4,18,18,18,polyhedron,Mn0.50Zn0.50Fe2O4,0,manganese zinc ferrite,zinc manganese iron oxide,12645-49-7,0,,,,,,,,Philips/PANalytical XPert Pro MPD,18,,400,300,-10,10,18.75,47.13,0.6546,Vibrating Sample Magnetometer,14.38,0,,0,0,0,10,10.1016/j.jmmm.2022.170252,co-precipitation technique and annealed up,,,,,,,,,
7,cubic,fd3m,0,Mn0.50Zn0.50Fe2O4,Mn0.5Zn0.5Fe2O4,21,21,21,polyhedron,Mn0.50Zn0.50Fe2O4,0,manganese zinc ferrite,zinc manganese iron oxide,12645-49-7,0,,,,,,,,Philips/PANalytical XPert Pro MPD,21,,400,300,-10,10,81.48,109.35,9.2738,Vibrating Sample Magnetometer,2.83,0,,0,0,0,10,10.1016/j.jmmm.2022.170252,co-precipitation technique and annealed up,,,,,,,,,
8,orthorhombic,pbnm,0,LaFeO3,LaFeO3,27,27,27,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,5,,,,,0.15406,PANalytical X’Pert Pro MPD,27,LaFeO3,,5,-60,60,1.3235,830,0.735,Quantum Design SQUID magnetometer,0,-0.017,,0,0,0,,10.3390/nano13101657,sol-gel,,,,,,,,,
9,orthorhombic,pbnm,0,LaFeO3,LaFeO3,27,27,27,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,5,,,,,0.15406,PANalytical X’Pert Pro MPD,27,LaFeO3,,5,-60,60,1.3529,894,0.735,Quantum Design SQUID magnetometer,-255,,,500,0.5,5,,10.3390/nano13101657,sol-gel,,,,,,,,,
10,orthorhombic,pbnm,0,LaFeO3,LaFeO3,27,27,27,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,5,,,,,0.15406,PANalytical X’Pert Pro MPD,27,LaFeO3,,5,-60,60,1.3529,910,0.735,Quantum Design SQUID magnetometer,-296,,,1000,1,10,,10.3390/nano13101657,sol-gel,,,,,,,,,
