,c1,c2,c3,chemical_formula,crystal_structure,depth_nm,id,space_group_shell,structure,structure_,formula_combined,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,width_nm
0,Zn1 O1,Fe2 Co1 O4,,"['ZnO', 'CoFe2O4']","hexagonal, cubic ",7.4,1,227,ZnO/CoFe2O4,ZnO/CoFe2O4,Zn1 O1 Fe2 Co1 O4,27800.0,-1132.0,5.0,50.0,7.399999999999999,13.76705,52.1524,1.0,186.0,5.0,0.0,7.399999999999999
1,Co1 O1,Fe2 Co1 O4,,"['CoO', 'CoFe2O4']","cubcic, cube",7.0,2,227,CoO/CoFe2O4,CoO/CoFe2O4,Co1 O1 Fe2 Co1 O4,7800.0,-406.0,5.0,50.0,7.0,43.2642,83.14,1.0,225.0,5.0,0.0,7.0
2,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],cubic,17.0,3,0,Mn0.50Zn0.50Fe2O4,MnZnFe4O8,Mn1 Zn1 Fe4 O8,24.800000000000182,51.34000000000003,0.0,10.0,17.000000000000007,0.007799999999999585,2.289999999999999,1.0,227.0,300.0,0.0,17.0
3,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],cubic,11.0,4,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,Mn1 Zn1 Fe4 O8,90.19999999999982,108.17999999999995,0.0,10.0,11.0,0.02179999999999893,2.4299999999999997,1.0,227.0,300.0,0.0,11.0
4,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],cubic,12.0,5,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,Mn1 Zn1 Fe4 O8,40.070000000000164,8.919999999999959,0.0,10.0,12.0,0.34979999999999833,16.15,1.0,227.0,300.0,0.0,12.0
5,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],cubic,18.0,6,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,Mn1 Zn1 Fe4 O8,47.13000000000011,14.379999999999995,0.0,10.0,18.0,0.6546000000000003,18.75,1.0,227.0,300.0,0.0,17.999999999999996
6,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],cubic,21.0,7,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,Mn1 Zn1 Fe4 O8,109.34999999999991,2.830000000000041,0.0,10.0,21.000000000000007,9.273800000000001,81.48,1.0,227.0,300.0,0.0,21.0
7,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,27.0,8,0,LaFeO3,LaFeO3,La1 Fe1 O3,830.0,0.0,0.0,60.0,27.0,0.7349999999999994,1.3235000000000028,1.0,62.0,5.0,-0.016999999999999904,27.0
8,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,27.0,9,0,LaFeO3,LaFeO3,La1 Fe1 O3,894.0,-255.0,0.5,60.0,27.0,0.7349999999999994,1.3528999999999982,1.0,62.0,5.0,-0.04732000000000003,27.0
9,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,27.0,10,0,LaFeO3,LaFeO3,La1 Fe1 O3,910.0,-296.0,1.0,60.0,27.0,0.7349999999999994,1.3528999999999982,1.0,62.0,5.0,0.017279999999999962,27.0
10,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,27.0,11,0,LaFeO3,LaFeO3,La1 Fe1 O3,945.0,-344.0,2.0,60.0,27.0,0.7349999999999994,1.3823000000000008,1.0,62.0,5.0,0.043179999999999996,27.0
11,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,27.0,12,0,LaFeO3,LaFeO3,La1 Fe1 O3,1077.0,-635.0,5.0,60.0,27.0,0.6999999999999993,1.4411699999999996,1.0,62.0,5.0,0.142857,27.0
12,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,36.0,13,0,LaFeO3,LaFeO3,La1 Fe1 O3,894.0,0.0,0.0,60.0,36.0,0.05880000000000152,0.6499999999999986,1.0,62.0,5.0,-0.2999999999999998,36.0
13,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,36.0,14,0,LaFeO3,LaFeO3,La1 Fe1 O3,985.0,-229.0,0.5,60.0,36.0,0.05880000000000152,0.6499999999999986,1.0,62.0,5.0,0.008800000000000141,36.0
14,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,36.0,15,0,LaFeO3,LaFeO3,La1 Fe1 O3,1016.0,-350.0,1.0,60.0,36.0,0.05880000000000152,0.6499999999999986,1.0,62.0,5.0,0.01760000000000006,36.0
15,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,36.0,16,0,LaFeO3,LaFeO3,La1 Fe1 O3,1074.0,-502.0,2.0,60.0,36.0,0.05880000000000152,0.6599999999999966,1.0,62.0,5.0,0.022999999999999687,36.0
16,La1 Fe1 O3,,,['LaFeO3'],orthorhombic,36.0,17,0,LaFeO3,LaFeO3,La1 Fe1 O3,1483.0,-2157.0,5.0,60.0,36.0,0.0519999999999996,0.6599999999999966,1.0,62.0,5.0,0.08400000000000007,36.0
17,Ni1,Ni1 O1,,"['Ni', 'NiO']","cubic, cubic",30.0,18,225,Ni–NiO,Ni–NiO,Ni1 Ni1 O1,634.0,-130.0,1.0,2.5,30.0,21.5,26.6,1.0,225.0,8.0,0.0,30.0
18,Ni1,Ni1 O1,,"['Ni', 'NiO']","cubic, cubic",30.0,19,225,Ni–NiO,Ni–NiO,Ni1 Ni1 O1,641.0,-137.00000000000006,1.0,2.5,30.0,21.5,26.4,1.0,225.0,8.0,0.0,30.0
19,Ni1,Ni1 O1,,"['Ni', 'NiO']","cubic, cubic",30.0,20,225,Ni–NiO,Ni–NiO,Ni1 Ni1 O1,379.0,-38.0,1.0,2.5,30.0,8.9,15.199999999999996,1.0,225.0,8.0,0.0,30.0
20,Ni1,Ni1 O1,,"['Ni', 'NiO']","cubic, cubic",30.0,21,225,Ni–NiO,Ni–NiO,Ni1 Ni1 O1,546.9999999999998,-73.0,1.0,2.5,30.0,10.7,14.699999999999996,1.0,225.0,8.0,0.0,30.0
21,Ni1,Ni1 O1,,"['Ni', 'NiO']","cubic, cubic",30.0,22,225,Ni–NiO,Ni–NiO,Ni1 Ni1 O1,534.0,-81.0,1.0,2.5,30.0,13.0,16.0,1.0,225.0,8.0,0.0,30.0
22,Ni1,Ni1 O1,,"['Ni', 'NiO']","cubic, cubic",30.0,23,225,Ni–NiO,Ni–NiO,Ni1 Ni1 O1,756.0,-109.0,1.0,2.5,30.0,12.8,16.5,1.0,225.0,8.0,0.0,30.0
23,Mg1 Fe2 O4,,,['MgFe2O4'],cubic,12.0,24,0,MgFe2O4,MgFe2O4,Mg1 Fe2 O4,8.449999999999818,0.0,0.0,20.0,12.0,0.14000000000000057,12.75,5.0,227.0,300.0,0.0,12.0
24,Mg1 Fe2 O4,,,['MgFe2O4'],cubic,16.0,25,0,MgFe2O4,MgFe2O4,Mg1 Fe2 O4,9.88000000000011,0.0,0.0,20.0,16.0,0.33999999999999986,18.61,5.0,227.0,300.0,0.0,16.0
25,Mg1 Fe2 O4,,,['MgFe2O4'],cubic,24.0,26,0,MgFe2O4,MgFe2O4,Mg1 Fe2 O4,22.340000000000146,0.0,0.0,20.0,24.0,1.2400000000000002,24.52,2.0,227.0,300.0,0.0,24.0
26,Mg1 Fe2 O4,,,['MgFe2O4'],cubic,33.0,27,0,MgFe2O4,MgFe2O4,Mg1 Fe2 O4,59.659999999999854,0.0,0.0,20.0,33.0,3.8100000000000005,29.42,2.0,227.0,300.0,0.0,33.0
27,Fe2 Co1 O4,,,['CoFe2O4'],cubic,17.7,28,0,CoFe2O4,CoFe2O4,Fe2 Co1 O4,1400.0,0.0,0.5,15.0,17.699999999999996,32.0,75.0,1.0,227.0,300.0,0.0,17.7
28,Fe1 Bi1 O3,,,['BiFeO3'],trigonal,20.4,29,0,BiFeO3,BiFeO3,Fe1 Bi1 O3,0.0,0.0,0.5,15.0,20.4,0.030000000000001137,0.11999999999999744,1.0,161.0,300.0,0.0,20.4
29,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",24.3,30,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,902.2494999999999,112.78100000000006,10.0,60.0,24.300000000000004,31.042,74.595,1.0,227.0,350.0,0.0,24.3
30,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",24.3,31,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,1316.317,226.736,10.0,60.0,24.300000000000004,39.222,79.167,1.0,227.0,300.0,0.0,24.3
31,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",32.9,32,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,1616.53,170.0,10.0,60.0,32.900000000000006,41.629000000000005,83.259,1.0,227.0,250.0,0.0,32.9
32,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",24.3,33,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,2594.2375,169.13099999999997,10.0,60.0,24.300000000000004,56.0,85.9,1.0,227.0,200.0,0.0,24.3
33,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",24.3,34,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,6052.7,112.77999999999997,10.0,60.0,24.300000000000004,67.858,87.0,1.0,227.0,100.0,0.0,24.3
34,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",32.9,35,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,7932.630999999999,56.17999999999995,10.0,60.0,32.900000000000006,71.226,87.5,1.0,227.0,50.0,0.0,32.9
35,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",24.3,36,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,4116.89,90.0,10.0,60.0,24.300000000000004,63.046,87.349,1.0,227.0,150.0,0.0,24.3
36,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",32.9,37,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,8966.0,50.0,10.0,60.0,32.900000000000006,73.151,87.83000000000001,1.0,227.0,5.0,0.0,32.9
37,Co1,Co1 O1,,"['Co', 'CoO']","hexagonal, cubic ",30.0,38,225,Co/CoO,Co/CoO,Co1 Co1 O1,538.4200000000001,-142.77999999999997,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0
38,Co1,Co1 O1,,"['Co', 'CoO']","hexagonal, cubic ",30.0,39,225,Co/CoO,Co/CoO,Co1 Co1 O1,434.0,-137.21000000000004,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0
