,volume,area,c1,c2,c3,chemical_formula,crystal_structure,z,id,space_group_shell,formula_combined,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,y,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,x,mass_ratio,sphericity,max/min,exc_dir,ver_s_dir
0,1697.3968882133322,688.1338735999997,Zn1 O1,Fe2 Co1 O4,,"['ZnO', 'CoFe2O4']",16,7.4,1,227,Zn1 Fe2 Co1 O5,27800.0,1132.0,5.0,50.0,7.399999999999999,13.76705,52.1524,1.0,186.0,5.0,0.0,7.399999999999999,23,1.00000028155478,1,0,1
1,1436.7538266666666,615.75164,Co1 O1,Fe2 Co1 O4,,"['CoO', 'CoFe2O4']",0,7.0,2,227,Fe2 Co2 O5,7800.0,406.0,5.0,50.0,7.0,43.2642,83.14,1.0,225.0,5.0,0.0,7.0,32,1.00000028155478,1,0,1
2,20579.50889333333,3631.67804,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],3,17.0,3,0,Mn1 Zn1 Fe4 O8,24.800000000000185,51.34000000000003,0.0,10.0,17.000000000000007,0.0077999999999995,2.289999999999999,1.0,227.0,300.0,0.0,17.0,13,1.00000028155478,1,1,1
3,5575.275053333333,1520.52956,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],3,11.0,4,0,Mn1 Zn1 Fe4 O8,90.19999999999982,108.17999999999996,0.0,10.0,11.0,0.0217999999999989,2.43,1.0,227.0,300.0,0.0,11.0,13,1.0000002815547802,1,1,1
4,7238.223359999999,1809.55584,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],3,12.0,5,0,Mn1 Zn1 Fe4 O8,40.07000000000016,8.919999999999959,0.0,10.0,12.0,0.3497999999999983,16.15,1.0,227.0,300.0,0.0,12.0,13,1.0000002815547797,1,1,1
5,24429.003839999983,4071.5006399999984,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],3,18.0,6,0,Mn1 Zn1 Fe4 O8,47.13000000000011,14.379999999999995,0.0,10.0,18.0,0.6546000000000003,18.75,1.0,227.0,300.0,0.0,17.999999999999996,13,1.0000002815547797,1,1,1
6,38792.353319999995,5541.76476,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],3,21.0,7,0,Mn1 Zn1 Fe4 O8,109.34999999999992,2.830000000000041,0.0,10.0,21.000000000000007,9.2738,81.48,1.0,227.0,300.0,0.0,21.0,13,1.0000002815547797,1,1,1
7,82447.88796,9160.87644,La1 Fe1 O3,,,['LaFeO3'],19,27.0,8,0,La1 Fe1 O3,830.0,0.0,0.0,60.0,27.0,0.7349999999999994,1.3235000000000028,1.0,62.0,5.0,0.0169999999999999,27.0,51,1.0000002815547797,1,1,0
8,82447.88796,9160.87644,La1 Fe1 O3,,,['LaFeO3'],19,27.0,9,0,La1 Fe1 O3,894.0,255.0,0.5,60.0,27.0,0.7349999999999994,1.3528999999999982,1.0,62.0,5.0,0.04732,27.0,51,1.0000002815547797,1,0,0
9,82447.88796,9160.87644,La1 Fe1 O3,,,['LaFeO3'],19,27.0,10,0,La1 Fe1 O3,910.0,296.0,1.0,60.0,27.0,0.7349999999999994,1.3528999999999982,1.0,62.0,5.0,0.0172799999999999,27.0,51,1.0000002815547797,1,0,1
10,82447.88796,9160.87644,La1 Fe1 O3,,,['LaFeO3'],19,27.0,11,0,La1 Fe1 O3,945.0,344.0,2.0,60.0,27.0,0.7349999999999994,1.3823000000000008,1.0,62.0,5.0,0.0431799999999999,27.0,51,1.0000002815547797,1,0,1
11,82447.88796,9160.87644,La1 Fe1 O3,,,['LaFeO3'],19,27.0,12,0,La1 Fe1 O3,1077.0,635.0,5.0,60.0,27.0,0.6999999999999993,1.4411699999999996,1.0,62.0,5.0,0.142857,27.0,51,1.0000002815547797,1,0,1
12,195432.03071999998,16286.002559999999,La1 Fe1 O3,,,['LaFeO3'],19,36.0,13,0,La1 Fe1 O3,894.0,0.0,0.0,60.0,36.0,0.0588000000000015,0.6499999999999986,1.0,62.0,5.0,0.2999999999999998,36.0,51,1.00000028155478,1,1,0
13,195432.03071999998,16286.002559999999,La1 Fe1 O3,,,['LaFeO3'],19,36.0,14,0,La1 Fe1 O3,985.0,229.0,0.5,60.0,36.0,0.0588000000000015,0.6499999999999986,1.0,62.0,5.0,0.0088000000000001,36.0,51,1.00000028155478,1,0,1
14,195432.03071999998,16286.002559999999,La1 Fe1 O3,,,['LaFeO3'],19,36.0,15,0,La1 Fe1 O3,1016.0,350.0,1.0,60.0,36.0,0.0588000000000015,0.6499999999999986,1.0,62.0,5.0,0.0176,36.0,51,1.00000028155478,1,0,1
15,195432.03071999998,16286.002559999999,La1 Fe1 O3,,,['LaFeO3'],19,36.0,16,0,La1 Fe1 O3,1074.0,502.0,2.0,60.0,36.0,0.0588000000000015,0.6599999999999966,1.0,62.0,5.0,0.0229999999999996,36.0,51,1.00000028155478,1,0,1
16,195432.03071999998,16286.002559999999,La1 Fe1 O3,,,['LaFeO3'],19,36.0,17,0,La1 Fe1 O3,1483.0,2157.0,5.0,60.0,36.0,0.0519999999999996,0.6599999999999966,1.0,62.0,5.0,0.084,36.0,51,1.00000028155478,1,0,1
17,113097.23999999999,11309.724,Ni1,Ni1 O1,,"['Ni', 'NiO']",7,30.0,18,225,Ni2 O1,634.0,130.0,1.0,2.5,30.0,21.5,26.6,1.0,225.0,8.0,0.0,30.0,73,1.00000028155478,1,0,1
18,113097.23999999999,11309.724,Ni1,Ni1 O1,,"['Ni', 'NiO']",7,30.0,19,225,Ni2 O1,641.0,137.00000000000006,1.0,2.5,30.0,21.5,26.4,1.0,225.0,8.0,0.0,30.0,73,1.00000028155478,1,0,1
19,113097.23999999999,11309.724,Ni1,Ni1 O1,,"['Ni', 'NiO']",7,30.0,20,225,Ni2 O1,379.0,38.0,1.0,2.5,30.0,8.9,15.199999999999996,1.0,225.0,8.0,0.0,30.0,73,1.00000028155478,1,0,1
20,113097.23999999999,11309.724,Ni1,Ni1 O1,,"['Ni', 'NiO']",7,30.0,21,225,Ni2 O1,546.9999999999998,73.0,1.0,2.5,30.0,10.7,14.699999999999996,1.0,225.0,8.0,0.0,30.0,73,1.00000028155478,1,0,1
21,113097.23999999999,11309.724,Ni1,Ni1 O1,,"['Ni', 'NiO']",7,30.0,22,225,Ni2 O1,534.0,81.0,1.0,2.5,30.0,13.0,16.0,1.0,225.0,8.0,0.0,30.0,73,1.00000028155478,1,0,1
22,113097.23999999999,11309.724,Ni1,Ni1 O1,,"['Ni', 'NiO']",7,30.0,23,225,Ni2 O1,756.0,109.0,1.0,2.5,30.0,12.8,16.5,1.0,225.0,8.0,0.0,30.0,73,1.00000028155478,1,0,1
23,203.6467529817257,249.4153162899183,Mg1 Fe2 O4,,,['MgFe2O4'],3,12.0,24,0,Mg1 Fe2 O4,8.449999999999818,0.0,0.0,20.0,12.0,0.1400000000000005,12.75,5.0,227.0,300.0,0.0,12.0,15,0.6711392913128502,1,1,1
24,482.7182292900165,443.40500673763256,Mg1 Fe2 O4,,,['MgFe2O4'],3,16.0,25,0,Mg1 Fe2 O4,9.88000000000011,0.0,0.0,20.0,16.0,0.3399999999999998,18.61,5.0,227.0,300.0,0.0,16.0,15,0.6711392913128504,1,1,1
25,36864.0,10368.0,Mg1 Fe2 O4,,,['MgFe2O4'],3,24.0,26,0,Mg1 Fe2 O4,22.340000000000146,0.0,0.0,20.0,24.0,1.2400000000000002,24.52,2.0,227.0,300.0,0.0,24.0,15,0.5166432673376116,1,1,1
26,95832.0,19602.0,Mg1 Fe2 O4,,,['MgFe2O4'],3,33.0,27,0,Mg1 Fe2 O4,59.659999999999854,0.0,0.0,20.0,33.0,3.810000000000001,29.42,2.0,227.0,300.0,0.0,33.0,15,0.5166432673376116,1,1,1
27,23227.798053959996,3936.9149243999996,Fe2 Co1 O4,,,['CoFe2O4'],3,17.7,28,0,Fe2 Co1 O4,1400.0,0.0,0.5,15.0,17.699999999999996,32.0,75.0,1.0,227.0,300.0,0.0,17.7,39,1.00000028155478,1,1,1
28,35561.39136767999,5229.616377599999,Fe1 Bi1 O3,,,['BiFeO3'],24,20.4,29,0,Fe1 Bi1 O3,0.0,0.0,0.5,15.0,20.4,0.0300000000000011,0.1199999999999974,1.0,161.0,300.0,0.0,20.4,20,1.00000028155478,1,1,1
