,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,Unnamed: 0
0,0.405405,50.0,793.0,5.0,51.87579999999997,27800.0,29.166600000000003,1132.0,0.0,0.0,1.0,5.0,1.0,1.0,3.274224,60.0,60.0,60.0,5.932914,120.4948,120.2024,89.39748,0.444444,0.206349,50.12293,1.0,172.0,275.7143,300.0,0.0,700.0,205.7143,7.071068,7.071068,0.0,2.860376,1.707469,11.55577,0
1,0.428571,50.0,843.0,5.0,59.73399999999998,7800.0,38.81,406.0,0.0,0.0,1.0,5.0,1.0,1.0,3.011828,107.295,89.50258,120.0378,5.932914,120.4948,120.2024,89.39748,0.444444,0.05801999999999996,53.28326,1.757954,266.0,275.7143,750.0,250.0,700.0,205.7143,2.932331,2.0,10.0,2.860376,1.707469,11.55577,1
2,0.176471,10.000000000000004,640.0,300.0,2.2900000000000205,24.800000000000182,0.007799999999997809,51.34000000000003,1.0,0.0,1.0,0.0,1.0,1.0,6.056519,90.0,60.0,120.0,0.0,0.0,0.0,0.0,0.428571,0.804382,26.417810000000003,1.0,259.9286,0.0,621.4286,163.57139999999998,0.0,0.0,3.105571,1.594171,13.17672,0.0,-2.220446049250313e-16,0.0,2
3,0.272727,10.000000000000004,640.0,300.0,2.4300000000000637,90.19999999999982,0.021800000000000708,108.18,1.0,0.0,1.0,0.0,1.0,1.0,6.056519,90.0,60.0,120.0,0.0,0.0,0.0,0.0,0.428571,0.804382,26.417810000000003,1.0,259.9286,0.0,621.4286,163.57139999999998,0.0,0.0,3.105571,1.594171,13.17672,0.0,-2.220446049250313e-16,0.0,3
4,0.25,10.000000000000004,640.0,300.0,16.149999999999977,40.070000000000164,0.3498000000000001,8.920000000000016,1.0,0.0,1.0,0.0,1.0,1.0,6.056519,90.0,60.0,120.0,0.0,0.0,0.0,0.0,0.428571,0.804382,26.417810000000003,1.0,259.9286,0.0,621.4286,163.57139999999998,0.0,0.0,3.105571,1.594171,13.17672,0.0,-2.220446049250313e-16,0.0,4
5,0.166667,10.000000000000004,640.0,300.0,18.75,47.13000000000011,0.6546000000000003,14.379999999999995,1.0,0.0,1.0,0.0,1.0,1.0,6.056519,90.0,60.0,120.0,0.0,0.0,0.0,0.0,0.428571,0.804382,26.417810000000003,1.0,259.9286,0.0,621.4286,163.57139999999998,0.0,0.0,3.105571,1.594171,13.17672,0.0,-2.220446049250313e-16,0.0,5
6,0.142857,10.000000000000004,640.0,300.0,81.48000000000002,109.34999999999991,9.2738,2.829999999999984,1.0,0.0,1.0,0.0,1.0,1.0,6.056519,90.0,60.0,120.0,0.0,0.0,0.0,0.0,0.428571,0.804382,26.417810000000003,1.0,259.9286,0.0,621.4286,163.57139999999998,0.0,0.0,3.105571,1.594171,13.17672,0.0,-2.220446049250313e-16,0.0,6
7,0.111111,60.0,730.0,5.0,1.352899999999977,894.0,0.7349999999999994,255.0,0.0,0.04732000000000003,0.0,0.5000000000000002,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,7
8,0.111111,60.0,730.0,5.0,1.352899999999977,910.0,0.7349999999999994,296.0,0.0,0.017279999999999962,1.0,1.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,8
9,0.111111,60.0,730.0,5.0,1.3822999999999865,945.0,0.7349999999999994,344.0,0.0,0.043179999999999996,1.0,2.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,9
