,unnamed: 0,id,c1,c2,c3,formula_combined,chemical_formula,x,y,z,sphericity,shape,area/volume,max/min,space_group_core,space_group_shell,crystal_structure,coer_oe,sat_em_g,mr (emu/g),exc_bias_oe,ver_shift_emu_g,temperature_k,fc_field_t,h_range_max_koe,mass_ratio,exc_dir,ver_s_dir,common_spin,effective anisotropy constant (j/m3),magnetic anisotropy constant (j/m3),magnetocrystalline anisotropy constant (j/m3),anisotropy constant,crystalline,mae,curie temperature (k),exchange constant (j/m) *10^-12,electronegativity core,demagnetization factors (nd),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/oe*g),orig_formula
0,533,1,AuFe2O3,,,Au1 Fe2 O3,,14.0,14.0,14.0,1.0,,0.429,1.0,167.0,0,,3.564,28.0,19.253,,,,,,,,,0.917,6000.0,34000.0,11000,34000.0,,140000.0,948.0,0.1,2.753,0.333,0.5,0.0,AuFe2O3
1,534,2,Fe297Co3O400,,,Fe297 Co3 O400,,7.1,7.1,7.1,1.0,,0.423,1.0,227.0,0,,0.0,20.0,0.0,,,,,,,,,1.0,11000.0,128.0,47750,1500.0,,140000.0,632.75,0.257,2.75,0.333,0.5,0.0,Co0.03Fe0.97Fe2O4
2,535,3,Fe59CoO80,,,Fe59 Co1 O80,,6.9,6.9,6.9,1.0,,0.435,1.0,227.0,0,,0.0,20.0,0.0,,,,,,,,,1.0,11000.0,128.0,47750,2000.0,,140000.0,632.75,0.257,2.75,0.333,0.5,0.0,Co0.05Fe0.95Fe2O4
3,536,4,Fe29CoO40,,,Fe29 Co1 O40,,17.0,17.0,17.0,1.0,,0.353,1.0,227.0,0,,143.0,73.5,10.8,,,,,,,,,1.0,9625.0,167276.0,11000,82000.0,,772500.0,810.0,0.105,2.751,0.333,0.5,0.004,Co0.1Fe0.9Fe2O4
4,537,5,Fe29CoO40,,,Fe29 Co1 O40,,17.0,17.0,17.0,1.0,,0.353,1.0,227.0,0,,9.1,86.2,69.0,,,,,,,,,1.0,230100.0,104.0,1613500,82000.0,,612500.0,682.25,0.132,2.751,0.333,4.714,0.0,Co0.1Fe0.9Fe2O4
5,538,6,Fe29CoO40,,,Fe29 Co1 O40,,6.0,6.0,6.0,1.0,,0.5,1.0,227.0,0,,7.4,82.0,65.0,,,,,,,,,1.0,200000.0,55828.0,580000,82000.0,,772500.0,550.5,0.533,2.751,0.333,9.1,0.004,Co0.1Fe0.9Fe2O4
6,539,7,Fe29CoO40,,,Fe29 Co1 O40,,6.0,6.0,6.0,1.0,,0.5,1.0,227.0,0,,7.4,82.0,65.0,,,,,,,,,1.0,200000.0,55828.0,580000,82000.0,,772500.0,550.5,0.533,2.751,0.333,9.1,0.004,Co0.1Fe0.9Fe2O4
7,540,8,Fe29CoO40,,,Fe29 Co1 O40,,6.0,6.0,6.0,1.0,,0.5,1.0,227.0,0,,7.4,82.0,65.0,,,,,,,,,1.0,200000.0,55828.0,580000,82000.0,,772500.0,550.5,0.533,2.751,0.333,9.1,0.004,Co0.1Fe0.9Fe2O4
8,541,9,Fe29CoO40,,,Fe29 Co1 O40,,7.1,7.1,7.1,1.0,,0.423,1.0,227.0,0,,0.0,20.0,0.0,,,,,,,,,1.0,11000.0,104.0,11000,82000.0,,140000.0,635.0,0.257,2.751,0.333,0.5,0.0,Co0.1Fe0.9Fe2O4
9,542,10,Mn15Fe261(Co3O50)8,,,Mn15 Fe261 Co24 O400,,19.0,19.0,19.0,1.0,,0.158,1.0,141.0,0,,0.0,93.0,0.0,,,,,,,,,1.011,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.746,0.333,0.156,0.001,Co0.24Mn0.15Fe0.61Fe2O4
