,c1,c2,c3,chemical_formula,coer_oe,crystal_structure,depth_nm,exc_bias_oe,fc_field_t,h_range_max_koe,id,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,space_group_shell,structure,structure_,temperature_k,ver_shift_emu_g,width_nm,orig_c1,orig_c2,formula_combined
0,Zn1 O1,Fe2 Co1 O4,,"['ZnO', 'CoFe2O4']",27800.0,"hexagonal, cubic ",7.4,-1132.0,5.0,50.0,1,7.4,,,sphere,p63mc,fd-3m,ZnO/CoFe2O4,ZnO/CoFe2O4,5.0,0.0,7.4,ZnO,CoFe2O4,Zn1 O1 Fe2 Co1 O4
1,Co1 O1,Fe2 Co1 O4,,"['CoO', 'CoFe2O4']",7800.0,"cubcic, cube",7.0,-406.0,5.0,50.0,2,7.0,,,sphere,fm-3m,fd-3m,CoO/CoFe2O4,CoO/CoFe2O4,5.0,0.0,7.0,CoO,CoFe2O4,Co1 O1 Fe2 Co1 O4
2,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],24.8,cubic,17.0,51.34,0.0,10.0,3,17.0,0.0078,2.29,polyhedron,fd-3m,0,Mn0.50Zn0.50Fe2O4,MnZnFe4O8,300.0,0.0,17.0,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8
3,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],90.2,cubic,11.0,108.18,0.0,10.0,4,11.0,0.0218,2.43,polyhedron,fd-3m,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,300.0,0.0,11.0,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8
4,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],40.07,cubic,12.0,8.92,0.0,10.0,5,12.0,0.3498,16.15,polyhedron,fd-3m,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,300.0,0.0,12.0,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8
5,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],47.13,cubic,18.0,14.38,0.0,10.0,6,18.0,0.6546,18.75,polyhedron,fd-3m,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,300.0,0.0,18.0,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8
6,Mn1 Zn1 Fe4 O8,,,['Mn0.50Zn0.50Fe2O4'],109.35,cubic,21.0,2.83,0.0,10.0,7,21.0,9.2738,81.48,polyhedron,fd-3m,0,Mn0.5Zn0.5Fe2O4,MnZnFe4O8,300.0,0.0,21.0,Mn0.50Zn0.50Fe2O4,,Mn1 Zn1 Fe4 O8
7,La1 Fe1 O3,,,['LaFeO3'],830.0,orthorhombic,27.0,0.0,0.0,60.0,8,27.0,0.735,1.3235,sphere,pnma,0,LaFeO3,LaFeO3,5.0,-0.017,27.0,LaFeO3,,La1 Fe1 O3
8,La1 Fe1 O3,,,['LaFeO3'],894.0,orthorhombic,27.0,-255.0,0.5,60.0,9,27.0,0.735,1.3529,sphere,pnma,0,LaFeO3,LaFeO3,5.0,,27.0,LaFeO3,,La1 Fe1 O3
9,La1 Fe1 O3,,,['LaFeO3'],910.0,orthorhombic,27.0,-296.0,1.0,60.0,10,27.0,0.735,1.3529,sphere,pnma,0,LaFeO3,LaFeO3,5.0,,27.0,LaFeO3,,La1 Fe1 O3
