,Unnamed: 0,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core,shell,formula,core_atomic_percent,core_pauling_electronegativity,shell_atomic_percent,shell,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function
0,0,0.4054054054,50,793,5,51.8758,27800,29.1666,1132,0,0,1,5,1,1,3.274224009,60,60,60,5.932913866,120.4947892,120.20238,89.39747524,0.4444444444,0.2063492063,50.12292555,1,ZnO,Fe2CoO4,ZnO/CoFe2O4,"{'Zn': 50.0, 'O': 50.0}",172,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,300,0,700,205.7142857
1,1,0.4285714286,50,843,5,59.734,7800,38.81,406,0,0,1,5,1,1,3.011828164,107.2949512,89.50258333,120.0378437,5.932913866,120.4947892,120.20238,89.39747524,0.4444444444,0.05802047782,53.28326133,1.757954164,CoO,Fe2CoO4,CoO/CoFe2O4,"{'Co': 50.0, 'O': 50.0}",266,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,750,250,700,205.7142857
2,2,0.1764705882,10,640,300,2.29,24.8,0.0078,51.34,1,0,1,0,1,1,6.056519488,90,60,120,0,0,0,0,0.4285714286,0.8043818466,26.41781312,1,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4,"{'Mn': 7.142857142857142, 'Zn': 7.142857142857142, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",259.9285714,{},0,621.4285714,163.5714286,0,0
3,3,0.2727272727,10,640,300,2.43,90.2,0.0218,108.18,1,0,1,0,1,1,6.056519488,90,60,120,0,0,0,0,0.4285714286,0.8043818466,26.41781312,1,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4,"{'Mn': 7.142857142857142, 'Zn': 7.142857142857142, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",259.9285714,{},0,621.4285714,163.5714286,0,0
4,4,0.25,10,640,300,16.15,40.07,0.3498,8.92,1,0,1,0,1,1,6.056519488,90,60,120,0,0,0,0,0.4285714286,0.8043818466,26.41781312,1,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4,"{'Mn': 7.142857142857142, 'Zn': 7.142857142857142, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",259.9285714,{},0,621.4285714,163.5714286,0,0
5,5,0.1666666667,10,640,300,18.75,47.13,0.6546,14.38,1,0,1,0,1,1,6.056519488,90,60,120,0,0,0,0,0.4285714286,0.8043818466,26.41781312,1,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4,"{'Mn': 7.142857142857142, 'Zn': 7.142857142857142, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",259.9285714,{},0,621.4285714,163.5714286,0,0
6,6,0.1428571429,10,640,300,81.48,109.35,9.2738,2.83,1,0,1,0,1,1,6.056519488,90,60,120,0,0,0,0,0.4285714286,0.8043818466,26.41781312,1,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4,"{'Mn': 7.142857142857142, 'Zn': 7.142857142857142, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",259.9285714,{},0,621.4285714,163.5714286,0,0
7,7,0.1111111111,60,730,5,1.3529,894,0.735,255,0,0.04732,0,0.5,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
8,8,0.1111111111,60,730,5,1.3529,910,0.735,296,0,0.01728,1,1,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
9,9,0.1111111111,60,730,5,1.3823,945,0.735,344,0,0.04318,1,2,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
10,10,0.1111111111,60,730,5,1.44117,1077,0.7,635,0,0.142857,1,5,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
11,11,0.08333333333,60,730,5,0.65,985,0.0588,229,0,0.0088,1,0.5,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
12,12,0.08333333333,60,730,5,0.65,1016,0.0588,350,0,0.0176,1,1,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
13,13,0.08333333333,60,730,5,0.66,1074,0.0588,502,0,0.023,1,2,1,1,3.957177,90,90,90,0,0,0,0,0.4,0.9594594595,138.356207,1,LaFeO3,0,LaFeO3,"{'La': 20.0, 'Fe': 20.0, 'O': 60.0}",243,{},0,520,94,0,0
14,14,0.1,2.5,668,8,26.6,634,21.5,130,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
15,15,0.1,2.5,668,8,26.4,641,21.5,137,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
16,16,0.1,2.5,668,8,15.2,379,8.9,38,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
17,17,0.1,2.5,668,8,14.7,547,10.7,73,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
