,Unnamed: 0,area/volume,volume,area,space_group_core,space_group_shell,h_range_max_koe,Tb,TN,Tc,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_a,core_b,core_c,core_alpha,core_beta,core_gamma,shell_a,shell_b,shell_c,shell_alpha,shell_beta,shell_gamma,total_ions,z_ions,core_total_ions,core_magnetic_ions,shell_total_ions,shell_magnetic_ions,num_of_magn_ions,Tn-Tb/Tn,Aex,core,shell,formula
0,0,0.4054054054,1697.396888,688.1338736,186,227,50,300,378,793,7.4,7.4,7.4,1,5,51.8758,27800,29.1666,1132,0,0,1,5,1,1,3.274224009,3.274224009,3.274224009,60,60,60,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,9,4,2,1,7,3,0.4444444444,0.2063492063,50.12292555,ZnO,Fe2CoO4,ZnO/CoFe2O4
1,1,0.4285714286,1436.753827,615.75164,225,227,50,276,293,843,7,7,7,1,5,59.734,7800,38.81,406,0,0,1,5,1,1,3.024079635,3.011828164,5.316193387,107.2949512,89.50258333,120.0378437,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,9,4,2,1,7,3,0.4444444444,0.05802047782,53.28326133,CoO,Fe2CoO4,CoO/CoFe2O4
2,2,0.1764705882,20579.50889,3631.67804,227,0,10,150,766.8,640,17,17,17,1,300,2.29,24.8,0.0078,51.34,1,0,1,0,1,1,6.056519488,6.056519488,6.056519488,90,60,120,0,0,0,0,0,0,14,6,14,6,0,0,0.4285714286,0.8043818466,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
3,3,0.2727272727,5575.275053,1520.52956,227,0,10,150,766.8,640,11,11,11,1,300,2.43,90.2,0.0218,108.18,1,0,1,0,1,1,6.056519488,6.056519488,6.056519488,90,60,120,0,0,0,0,0,0,14,6,14,6,0,0,0.4285714286,0.8043818466,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
4,4,0.25,7238.22336,1809.55584,227,0,10,150,766.8,640,12,12,12,1,300,16.15,40.07,0.3498,8.92,1,0,1,0,1,1,6.056519488,6.056519488,6.056519488,90,60,120,0,0,0,0,0,0,14,6,14,6,0,0,0.4285714286,0.8043818466,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
5,5,0.1666666667,24429.00384,4071.50064,227,0,10,150,766.8,640,18,18,18,1,300,18.75,47.13,0.6546,14.38,1,0,1,0,1,1,6.056519488,6.056519488,6.056519488,90,60,120,0,0,0,0,0,0,14,6,14,6,0,0,0.4285714286,0.8043818466,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
6,6,0.1428571429,38792.35332,5541.76476,227,0,10,150,766.8,640,21,21,21,1,300,81.48,109.35,9.2738,2.83,1,0,1,0,1,1,6.056519488,6.056519488,6.056519488,90,60,120,0,0,0,0,0,0,14,6,14,6,0,0,0.4285714286,0.8043818466,0,MnZn(FeO2)4,0,Mn0.5Zn0.5Fe2O4
7,7,0.1111111111,82447.88796,9160.87644,62,0,60,30,740,730,27,27,27,1,5,1.3235,830,0.735,0,1,0.017,0,0,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
8,8,0.1111111111,82447.88796,9160.87644,62,0,60,30,740,730,27,27,27,1,5,1.3529,894,0.735,255,0,0.04732,0,0.5,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
9,9,0.1111111111,82447.88796,9160.87644,62,0,60,30,740,730,27,27,27,1,5,1.3529,910,0.735,296,0,0.01728,1,1,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
10,10,0.1111111111,82447.88796,9160.87644,62,0,60,30,740,730,27,27,27,1,5,1.3823,945,0.735,344,0,0.04318,1,2,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
11,11,0.1111111111,82447.88796,9160.87644,62,0,60,30,740,730,27,27,27,1,5,1.44117,1077,0.7,635,0,0.142857,1,5,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
12,12,0.08333333333,195432.0307,16286.00256,62,0,60,30,740,730,36,36,36,1,5,0.65,894,0.0588,0,1,0.3,0,0,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
13,13,0.08333333333,195432.0307,16286.00256,62,0,60,30,740,730,36,36,36,1,5,0.65,985,0.0588,229,0,0.0088,1,0.5,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
14,14,0.08333333333,195432.0307,16286.00256,62,0,60,30,740,730,36,36,36,1,5,0.65,1016,0.0588,350,0,0.0176,1,1,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
15,15,0.08333333333,195432.0307,16286.00256,62,0,60,30,740,730,36,36,36,1,5,0.66,1074,0.0588,502,0,0.023,1,2,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
16,16,0.08333333333,195432.0307,16286.00256,62,0,60,30,740,730,36,36,36,1,5,0.66,1483,0.052,2157,0,0.084,1,5,1,1,3.957177,3.957177,3.957177,90,90,90,0,0,0,0,0,0,5,2,5,2,0,0,0.4,0.9594594595,0,LaFeO3,0,LaFeO3
17,17,0.1,113097.24,11309.724,225,225,2.5,31,525,668,30,30,30,1,8,26.6,634,21.5,130,0,0,1,1,1,1,2.416394474,2.416394474,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,2.924839357,3.442262,90,90,119.9999855,3,2,1,1,2,1,0.6666666667,0.940952381,171.2914587,Ni,NiO,Ni-NiO
18,18,0.1,113097.24,11309.724,225,225,2.5,31,525,668,30,30,30,1,8,26.4,641,21.5,137,0,0,1,1,1,1,2.416394474,2.416394474,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,2.924839357,3.442262,90,90,119.9999855,3,2,1,1,2,1,0.6666666667,0.940952381,171.2914587,Ni,NiO,Ni-NiO
19,19,0.1,113097.24,11309.724,225,225,2.5,31,525,668,30,30,30,1,8,15.2,379,8.9,38,0,0,1,1,1,1,2.416394474,2.416394474,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,2.924839357,3.442262,90,90,119.9999855,3,2,1,1,2,1,0.6666666667,0.940952381,171.2914587,Ni,NiO,Ni-NiO
20,20,0.1,113097.24,11309.724,225,225,2.5,31,525,668,30,30,30,1,8,14.7,547,10.7,73,0,0,1,1,1,1,2.416394474,2.416394474,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,2.924839357,3.442262,90,90,119.9999855,3,2,1,1,2,1,0.6666666667,0.940952381,171.2914587,Ni,NiO,Ni-NiO
21,21,0.1,113097.24,11309.724,225,225,2.5,31,525,668,30,30,30,1,8,16,534,13,81,0,0,1,1,1,1,2.416394474,2.416394474,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,2.924839357,3.442262,90,90,119.9999855,3,2,1,1,2,1,0.6666666667,0.940952381,171.2914587,Ni,NiO,Ni-NiO
22,22,0.1,113097.24,11309.724,225,225,2.5,31,525,668,30,30,30,1,8,16.5,756,12.8,109,0,0,1,1,1,1,2.416394474,2.416394474,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,2.924839357,3.442262,90,90,119.9999855,3,2,1,1,2,1,0.6666666667,0.940952381,171.2914587,Ni,NiO,Ni-NiO
23,23,1.224744871,203.646753,249.4153163,227,0,20,573,673,673,12,12,12,5,300,12.75,8.45,0.14,0,1,0,1,0,0.6711392913,1,6.531873185,5.61447212,5.614471637,144.918277,131.4213705,59.63944147,0,0,0,0,0,0,7,2,7,2,0,0,0.2857142857,0.1485884101,0,Mg(FeO2)2,0,MgFe2O4
24,24,0.9185586535,482.7182293,443.4050067,227,0,20,573,673,673,16,16,16,5,300,18.61,9.88,0.34,0,1,0,1,0,0.6711392913,1,6.531873185,5.61447212,5.614471637,144.918277,131.4213705,59.63944147,0,0,0,0,0,0,7,2,7,2,0,0,0.2857142857,0.1485884101,0,Mg(FeO2)2,0,MgFe2O4
25,25,0.28125,36864,10368,227,0,20,573,673,673,24,24,24,2,300,24.52,22.34,1.24,0,1,0,1,0,0.5166432673,1,6.531873185,5.61447212,5.614471637,144.918277,131.4213705,59.63944147,0,0,0,0,0,0,7,2,7,2,0,0,0.2857142857,0.1485884101,0,Mg(FeO2)2,0,MgFe2O4
26,26,0.2045454545,95832,19602,227,0,20,573,673,673,33,33,33,2,300,29.42,59.66,3.81,0,1,0,1,0,0.5166432673,1,6.531873185,5.61447212,5.614471637,144.918277,131.4213705,59.63944147,0,0,0,0,0,0,7,2,7,2,0,0,0.2857142857,0.1485884101,0,Mg(FeO2)2,0,MgFe2O4
27,27,0.1694915254,23227.79805,3936.914924,227,0,15,230,890,600,17.7,17.7,17.7,1,300,75,1400,32,0,1,0,1,0.5,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,0,0,0,0,0,0,7,3,7,3,0,0,0.4285714286,0.7415730337,0,Fe2CoO4,0,CoFe2O4
28,28,0.1470588235,35561.39137,5229.616378,161,0,15,35,643,1098,20.4,20.4,20.4,1,300,0.12,1013.1136,0.03,0,1,0,1,0.5,1,1,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,0,0,0,0,0,0,5,1,5,1,0,0,0.2,0.9455676516,0,FeBiO3,0,BiFeO3
29,29,0.1234567901,60104.51032,7420.309916,227,161,60,103,643,793,24.3,24.3,24.3,1,350,74.595,902.2495,31.042,112.781,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,35.13044293,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
30,30,0.1234567901,60104.51032,7420.309916,227,161,60,103,643,793,24.3,24.3,24.3,1,300,79.167,1316.317,39.222,226.736,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,35.13044293,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
31,31,0.09118541033,149168.0925,13601.95373,227,161,60,103,643,793,32.9,32.9,32.9,1,250,83.259,1616.53,41.629,170,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,35.13044293,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
32,32,0.1234567901,60104.51032,7420.309916,227,161,60,103,643,793,24.3,24.3,24.3,1,200,85.9,2594.2375,56,169.131,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,35.13044293,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
33,33,0.1234567901,60104.51032,7420.309916,227,161,60,103,643,720,24.3,24.3,24.3,1,100,87,6052.7,67.858,112.78,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,31.89649295,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
34,34,0.09118541033,149168.0925,13601.95373,227,161,60,103,643,720,32.9,32.9,32.9,1,50,87.5,7932.631,71.226,56.18,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,31.89649295,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
35,35,0.1234567901,60104.51032,7420.309916,227,161,60,103,643,720,24.3,24.3,24.3,1,150,87.349,4116.89,63.046,90,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,31.89649295,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
36,36,0.09118541033,149168.0925,13601.95373,227,161,60,103,643,720,32.9,32.9,32.9,1,5,87.83,8966,73.151,50,1,0,1,10,1,1,5.932913866,5.932913866,5.932913866,120.4947892,120.20238,89.39747524,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,12,4,7,3,5,1,0.3333333333,0.8398133748,31.89649295,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3
37,37,0.1,113097.24,11309.724,194,225,6,195,293,1661,30,30,30,1,5,22.472,538.42,5.9066,142.78,0,0,1,0.5,1,1,2.489759746,2.489759746,2.489759746,60,60,60,3.024079635,3.011828164,5.316193387,107.2949512,89.50258333,120.0378437,3,2,1,1,2,1,0.6666666667,0.3344709898,411.9435168,Co,CoO,Co/CoO
38,38,0.1,113097.24,11309.724,194,225,6,195,293,1661,30,30,30,1,5,22.472,434,5.9066,137.21,0,0,1,0.5,1,1,2.489759746,2.489759746,2.489759746,60,60,60,3.024079635,3.011828164,5.316193387,107.2949512,89.50258333,120.0378437,3,2,1,1,2,1,0.6666666667,0.3344709898,411.9435168,Co,CoO,Co/CoO
39,39,0.1,113097.24,11309.724,194,225,6,195,293,1661,30,30,30,1,5,31.472,280,6.2542,71,0,0,1,0.5,1,1,2.489759746,2.489759746,2.489759746,60,60,60,3.024079635,3.011828164,5.316193387,107.2949512,89.50258333,120.0378437,3,2,1,1,2,1,0.6666666667,0.3344709898,411.9435168,Co,CoO,Co/CoO
40,40,0.1,113097.24,11309.724,194,225,6,195,293,1661,30,30,30,1,5,19.872,532.96,4.4662,346.379,0,0,1,0.5,1,1,2.489759746,2.489759746,2.489759746,60,60,60,3.024079635,3.011828164,5.316193387,107.2949512,89.50258333,120.0378437,3,2,1,1,2,1,0.6666666667,0.3344709898,411.9435168,Co,CoO,Co/CoO
41,41,0.12,65449.79167,7853.975,221,0,0.1,27,370,370,25,25,25,1,2,9.56001747,1661.3845,0.059892,952.57,0,0,1,1,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.927027027,0,FeRh,0,FeRh
